1970-01-01 00:00:01, 25.86, 65.98
2026-03-20 11:26:24, 25.85, 65.78
2026-03-20 11:26:27, 25.88, 65.62
2026-03-20 11:26:30, 25.88, 65.49
2026-03-20 11:26:33, 25.89, 65.30
2026-03-20 11:26:36, 25.90, 65.32
2026-03-20 11:26:39, 25.90, 65.20
2026-03-20 11:26:42, 25.91, 65.04
2026-03-20 11:26:45, 25.91, 64.82
2026-03-20 11:26:48, 25.92, 64.55
2026-03-20 11:26:52, 25.92, 64.33
2026-03-20 11:26:55, 25.92, 64.17
2026-03-20 11:26:58, 25.93, 63.98
2026-03-20 11:27:01, 25.92, 63.80
2026-03-20 11:27:04, 25.94, 63.78
2026-03-20 11:27:07, 25.96, 63.93
2026-03-20 11:27:10, 25.94, 64.05
2026-03-20 11:27:13, 25.96, 64.13
2026-03-20 11:27:16, 25.94, 64.03
2026-03-20 11:27:19, 25.96, 63.85
2026-03-20 11:27:22, 25.95, 63.78
2026-03-20 11:27:25, 25.95, 63.88
2026-03-20 11:27:29, 25.95, 63.94
2026-03-20 11:27:32, 25.95, 63.97
2026-03-20 11:27:35, 25.95, 63.94
2026-03-20 11:27:38, 25.95, 63.89
2026-03-20 11:27:41, 25.95, 63.75
2026-03-20 11:27:44, 25.95, 63.81
2026-03-20 11:27:47, 25.98, 63.82
2026-03-20 11:27:50, 25.96, 64.02
2026-03-20 11:27:53, 25.98, 64.43
2026-03-20 11:27:55, 25.99, 64.68
2026-03-20 11:27:55, 25.98, 64.82
2026-03-20 11:27:58, 26.00, 65.04
2026-03-20 11:28:01, 25.99, 65.05
2026-03-20 11:28:04, 26.00, 64.84
2026-03-20 11:28:08, 26.00, 64.64
2026-03-20 11:28:11, 26.00, 64.38
2026-03-20 11:28:14, 26.00, 64.22
2026-03-20 11:28:17, 26.00, 64.10
2026-03-20 11:28:20, 25.98, 64.49
2026-03-20 11:28:23, 25.99, 64.60
2026-03-20 11:28:26, 25.99, 64.66
2026-03-20 11:28:29, 25.99, 64.61
2026-03-20 11:28:32, 26.00, 64.56
2026-03-20 11:28:35, 26.00, 64.58
2026-03-20 11:28:38, 25.99, 64.75
2026-03-20 11:28:41, 26.01, 64.87
2026-03-20 11:28:45, 26.02, 65.07
2026-03-20 11:28:48, 26.01, 64.89
2026-03-20 11:28:51, 26.00, 64.62
2026-03-20 11:28:54, 26.01, 64.36
2026-03-20 11:28:57, 26.01, 63.97
2026-03-20 11:29:00, 26.00, 63.64
2026-03-20 11:29:03, 25.97, 63.32
2026-03-20 11:29:06, 25.98, 63.03
2026-03-20 11:29:09, 25.98, 62.86
2026-03-20 11:29:12, 25.98, 62.66
2026-03-20 11:29:15, 25.96, 62.55
2026-03-20 11:29:18, 25.95, 62.51
2026-03-20 11:29:21, 25.96, 62.48
2026-03-20 11:29:25, 25.97, 62.46
2026-03-20 11:29:28, 25.94, 62.70
2026-03-20 11:29:31, 25.95, 63.05
2026-03-20 11:29:34, 25.94, 63.22
2026-03-20 11:29:37, 25.94, 63.19
2026-03-20 11:29:40, 25.96, 63.20
2026-03-20 11:29:43, 25.96, 63.22
2026-03-20 11:29:46, 25.96, 63.32
2026-03-20 11:29:49, 25.93, 63.41
2026-03-20 11:29:52, 25.94, 63.55
2026-03-20 11:29:55, 25.93, 63.57
2026-03-20 11:29:58, 25.90, 63.65
2026-03-20 11:30:02, 25.89, 63.65
2026-03-20 11:30:05, 25.90, 63.75
2026-03-20 11:30:08, 25.89, 63.88
2026-03-20 11:30:11, 25.89, 63.88
2026-03-20 11:30:14, 25.88, 63.90
2026-03-20 11:30:17, 25.89, 63.91
2026-03-20 11:30:20, 25.88, 63.86
2026-03-20 11:30:23, 25.88, 63.92
